"","piece","measure","form"
"1","Piano Sonata 4, Op.7, Movement 1",1,"Exposition"
"2","Piano Sonata 4, Op.7, Movement 1",137,"Development"
"3","Piano Sonata 4, Op.7, Movement 1",NA,"Recapitulation"
"4","Piano Sonata 4, Op.7, Movement 1",313,"Coda"
"5","Piano Sonata 5, Op.10 No.1, Movement 1",1,"Exposition"
"6","Piano Sonata 5, Op.10 No.1, Movement 1",106,"Development"
"7","Piano Sonata 5, Op.10 No.1, Movement 1",NA,"Recapitulation"
"8","Piano Sonata 5, Op.10 No.1, Movement 1",271,"Coda"
"9","Piano Sonata 6, Op.10 No.2, Movement 1",0,"Exposition"
"10","Piano Sonata 6, Op.10 No.2, Movement 1",69,"Development"
"11","Piano Sonata 6, Op.10 No.2, Movement 1",120,"Recapitulation"
"12","Piano Sonata 7, Op.10 No.3, Movement 1",0,"Exposition"
"13","Piano Sonata 7, Op.10 No.3, Movement 1",125,"Development"
"14","Piano Sonata 7, Op.10 No.3, Movement 1",NA,"Recapitulation"
"15","Piano Sonata 7, Op.10 No.3, Movement 1",299,"Coda"
"16","Piano Sonata 8, Op.13(Pathetique), Movement 1",NA,"Exposition"
"17","Piano Sonata 8, Op.13(Pathetique), Movement 1",NA,"Development"
"18","Piano Sonata 8, Op.13(Pathetique), Movement 1",NA,"Recapitulation"
"19","Piano Sonata 8, Op.13(Pathetique), Movement 1",295,"Coda"
"20","Piano Sonata 9, Op.14 No.1, Movement 1",1,"Exposition"
"21","Piano Sonata 9, Op.14 No.1, Movement 1",NA,"Development"
"22","Piano Sonata 9, Op.14 No.1, Movement 1",NA,"Recapitulation"
"23","Piano Sonata 9, Op.14 No.1, Movement 1",148,"Coda"
"24",NA,41,"Trio"
"25","Piano Sonata 10, Op.14 No.2, Movement 1",0,"Exposition"
"26","Piano Sonata 10, Op.14 No.2, Movement 1",64,"Development"
"27","Piano Sonata 10, Op.14 No.2, Movement 1",NA,"Recapitulation"
"28","Piano Sonata 11, Op.22, Movement 1",0,"Exposition"
"29","Piano Sonata 11, Op.22, Movement 1",69,"Development"
"30","Piano Sonata 11, Op.22, Movement 1",NA,"Recapitulation"
"31","Piano Sonata 12, Op.26, Movement 1",0,"Theme"
"32","Piano Sonata 12, Op.26, Movement 1",NA,"Variation I"
"33","Piano Sonata 12, Op.26, Movement 1",69,"Variation II"
"34","Piano Sonata 12, Op.26, Movement 1",103,"Variation III"
"35","Piano Sonata 12, Op.26, Movement 1",137,"Variation IV"
"36","Piano Sonata 12, Op.26, Movement 1",171,"Variation V"
"37","Piano Sonata 12, Op.26, Movement 1",206,"Coda"
"38",NA,NA,"scherzo"
"39",NA,68,"Trio"
"40",NA,NA,"scherzo repeat follows"
"41",NA,NA,"ABA "
"42",NA,1,"A (rounded binary)"
"43",NA,31,"B (16 bars, 4 + 4 + 4 + 4)"
"44",NA,NA,"A"
"45",NA,NA,"rondo"
"46",NA,0,"Rondo A"
"47",NA,29,"rondo B"
"48",NA,NA,"rondo C"
"49","Piano Sonata 13, Op.27 No.1, Movement 1",1,"A"
"50","Piano Sonata 13, Op.27 No.1, Movement 1",37,"B"
"51","Piano Sonata 13, Op.27 No.1, Movement 1",NA,"A"
"52","Piano Sonata 13, Op.27 No.1, Movement 1",79,"Coda"
"53",NA,NA,"scherzo/trio form"
"54",NA,NA,"scherzo"
"55",NA,NA,"trio"
"56",NA,NA,"ABA, 8 + 8 + 8 + 2, rounded binary without repeats"
"57",NA,1,"opening A"
"58",NA,9,"middle B"
"59",NA,NA,"closing A"
"60",NA,25,"coda/transition to Eb"
"61",NA,NA,"rondo"
"62",NA,1,"rondo A"
"63",NA,NA,"rondo B"
"64",NA,NA,"rondo A"
"65","Piano Sonata 14, Op.27 No.2(Moonlight), Movement 1",1,"Exposition"
"66","Piano Sonata 14, Op.27 No.2(Moonlight), Movement 1",23,"Development"
"67","Piano Sonata 14, Op.27 No.2(Moonlight), Movement 1",NA,"Recapitulation"
"68","Piano Sonata 14, Op.27 No.2(Moonlight), Movement 1",60,"Coda"
"69",NA,1,"sonata"
"70",NA,15,"transition"
"71",NA,21,"second theme"
"72",NA,67,"development"
"73",NA,NA,"recapitulation"
"74",NA,NA,"coda"
"75","Piano Sonata 15, Op.28(Pastorale), Movement 1",1,"Exposition"
"76","Piano Sonata 15, Op.28(Pastorale), Movement 1",NA,"Development"
"77","Piano Sonata 15, Op.28(Pastorale), Movement 1",NA,"Recapitulation"
"78","Piano Sonata 15, Op.28(Pastorale), Movement 1",438,"Coda"
"79",NA,NA,"piece is basically minuet-trio form, with two rounded binaries in ABA arrangement.  The repeat of the A is treated as a variation though."
"80",NA,1,"rounded binary"
"81",NA,71,"trio"
"82",NA,NA,"scherzo"
"83","Piano Sonata 16, Op.31 No.1, Movement 1",0,"Exposition"
"84","Piano Sonata 16, Op.31 No.1, Movement 1",112,"Development"
"85","Piano Sonata 16, Op.31 No.1, Movement 1",NA,"Recapitulation"
"86","Piano Sonata 16, Op.31 No.1, Movement 1",280,"Coda"
"87","Piano Sonata 2, Op.2 No.2, Movement 1",0,"Exposition"
"88","Piano Sonata 2, Op.2 No.2, Movement 1",123,"Development"
"89","Piano Sonata 2, Op.2 No.2, Movement 1",226,"Recapitulation"
"90","Piano Sonata 17, Op.31 No.2, Movement 1",1,"Exposition"
"91","Piano Sonata 17, Op.31 No.2, Movement 1",NA,"Development"
"92","Piano Sonata 17, Op.31 No.2, Movement 1",143,"Recapitulation"
"93","Piano Sonata 18, Op.31 No.3, Movement 1",1,"Exposition"
"94","Piano Sonata 18, Op.31 No.3, Movement 1",89,"Development"
"95","Piano Sonata 18, Op.31 No.3, Movement 1",NA,"Recapitulation"
"96","Piano Sonata 18, Op.31 No.3, Movement 1",220,"Coda"
"97","Piano Sonata 19, Op.49 No.1, Movement 1",0,"Exposition"
"98","Piano Sonata 19, Op.49 No.1, Movement 1",34,"Development"
"99","Piano Sonata 19, Op.49 No.1, Movement 1",NA,"Recapitulation"
"100","Piano Sonata 19, Op.49 No.1, Movement 1",97,"Coda"
"101",NA,NA,"Rondo"
"102",NA,0,"Rondo A"
"103",NA,NA,"Rondo B"
"104",NA,NA,"Rondo A"
"105",NA,97,"Rondo C? or transition to B'"
"106",NA,104,"Rondo B"
"107","Piano Sonata 20, Op.49 No.2, Movement 1",1,"Exposition"
"108","Piano Sonata 20, Op.49 No.2, Movement 1",53,"Development"
"109","Piano Sonata 20, Op.49 No.2, Movement 1",NA,"Recapitulation"
"110","Piano Sonata 21, Op.53, Movement 1",1,"Exposition"
"111","Piano Sonata 22, Op.54, Movement 1",0,"A"
"112","Piano Sonata 22, Op.54, Movement 1",25,"B"
"113","Piano Sonata 22, Op.54, Movement 1",NA,"A"
"114","Piano Sonata 22, Op.54, Movement 1",94,"B"
"115","Piano Sonata 22, Op.54, Movement 1",106,"A"
"116","Piano Sonata 22, Op.54, Movement 1",137,"Coda"
"117","Piano Sonata 23, Op.57(Appassionata), Movement 1",0,"Exposition"
"118","Piano Sonata 23, Op.57(Appassionata), Movement 1",67,"Development"
"119","Piano Sonata 23, Op.57(Appassionata), Movement 1",136,"Recapitulation"
"120","Piano Sonata 23, Op.57(Appassionata), Movement 1",203,"Coda"
"121","Piano Sonata 24, Op.78, Movement 1",1,"Introduction"
"122","Piano Sonata 24, Op.78, Movement 1",5,"Exposition"
"123","Piano Sonata 24, Op.78, Movement 1",NA,"Development"
"124","Piano Sonata 24, Op.78, Movement 1",NA,"Recapitulation"
"125","Piano Sonata 25, Op.79(Sonatina), Movement 1",1,"Exposition"
"126","Piano Sonata 25, Op.79(Sonatina), Movement 1",NA,"Development"
"127","Piano Sonata 25, Op.79(Sonatina), Movement 1",NA,"Recapitulation"
"128","Piano Sonata 25, Op.79(Sonatina), Movement 1",176,"Coda"
"129","Piano Sonata 26, Op.81a(Les Adieux), Movement 1",1,"Introduction"
